cancel vt.取消
grunt vi.作呼噜声；咕哝
eve n.(节日或大事件发生的)前夕
tousle v．弄乱（头发）
chose vt.选择(choose的过去式)
gusher n．滔滔不绝的说话者，喷油井
oafish adj．呆子的，白痴的
memorize v.记忆
flick n．v．轻打，轻弹
OK ad.（口语）好,对,不错
France n.法国
render v．使得，给与
raincoat n.雨衣
endeavor vi.&n.努力，尽力
adjacent adj．接近的，毗连的
DVD 数码影碟(digitalversatiledisk)
chord n.(乐器的)弦vi.协调
appetite n.食欲，胃口
needle n.针
PM n.下午,午后
revolve vt.&vi.(使)旋转
axiom n.公理,定理
summon vt.召唤；鼓起(勇气)
hawser n．粗绳，大钢索
expertise n.专技，专业知识
snarled adj．纠缠不清的
annihilate v．消灭
feckless adj．无目标无计划的
rabid adj．患狂犬病的，疯的，失去理性的
palatial adj．宫殿般的，宏伟的
convocation n．召集，会议
encompass v．包围、围绕
remain vt.余下,留下vi.保持,仍是
sustenance n．食物，粮食，生计
eye n.眼睛
envelope n.信封
himself pron.他自己
glaring adj．耀眼的，刺目的．
mixer n.混合者，搅拌器
fluctuation n.波动；脉动；踌躇
beguiling adj．欺骗的，迷人的
occult adj．秘密的，不公开的
improvise v．即席而作
default n．拖债，未履行的责任
knowledgeable adj．有丰富知识的，博学的
gray a.灰色的n.灰色
tropic n.热带地区；回归线
beverage n.（水，酒等之外的）饮料
exaction n.强求，勒索
insane adj．疯狂的
trophy n．奖品，战利品
magician n.魔法师；变戏法的人
stethoscope n．听诊器
repentant adj．对…感到悔恨的
frisky adj．活泼的，快活的
triumph n.凯旋；胜利vi.成功
horror n．恐怖，战粟
gram n.克(重量单位)
black n.黑色a.黑色的
nest n.巢；窝
fortunate a.幸运的；侥幸的
such ad.那么pron.（泛指）人，事物a.这样的，那样的
exacting adj.苛求的，要求严格的
classic a.一流的，典型的，有代表性的
embellish v.装饰润饰
retract v．缩回，收回
showery adj.阵雨的；多阵雨的
describe vt.描写，叙述
suck vt.吸吮
grab v.抓取……；夺取
raiment n．衣服
gnawing adj．痛苦的，折磨人的
TV (缩)“＝”televisionn.电视机
draw(drew,drawn) v.绘画；绘制；拉，拖；提取（金钱）
wealthy a.富的
presently ad.一会儿；目前
pettish adj．易怒的，使性子的
pulchritude n．美丽
foam n.泡沫；泡沫塑料
fatuous adj．愚味而不自知的
incomplete a.不完全的，未完成的
furniture n.（总称）家具
UK n.联合王国
huge a.巨大的，庞大的
pendulum n．摆，钟摆．
baroque n.adj.(艺术、建筑等)高度装饰的，过份雕琢的
let's .＝letus让我们
duplicate n.复制品vt.复制
affable adj．易于交谈的，和蔼的
diatribe n．（口头或书面猛烈的）抨击，抨击性演说
museum n.博物馆，博物院
eradicate v．根除，扑灭
gauche adj．笨拙的，不会社交的
trumpet n.喇叭，小号
installment n．分期付款，安装
clothing n.(总称)衣服
next a.最近的，紧挨着的，隔壁的；下一次ad.随后，然后，下一步n.下一个人（东西）
submit v.提交，呈递（文件，建议等）
occupy vt.占领；占，占有
snatch v.夺，夺得，夺走
summit n.顶点，最高点；极度
button n.纽扣；（电铃等的）按钮v.扣（纽扣）
conclusion n.结论；结束
typist n.打字员
trademark n.商标；特征vt.注册的…商标
memorial n.纪念馆
news n.新闻，消息
theAntarctic 南极
barometer n.气压计,晴雨表
grey adj.&n.灰色（的）；灰白（的）
arable adj．可耕的，适合种植的．
sensation n．知觉，轰动（的事）
brightness n.明亮，辉煌，聪明
urban a.城市的，都市的
dining-room 食堂，饭厅
stipple v．点画，点描．
window n.窗户；计算机的窗
athletics n.田径
obverse n．正面
play v.玩；打（球）；游戏；播放n.玩耍，戏剧
flippant adj无礼的，轻率的
lowbred adj．粗野的，鲁莽的
fad n．(流行一时的)狂热,时尚
mangle v．撕成碎片，压碎
fag v．苦干n.苦工
synonymous adj．同义的
fan n.（电影、运动等的）迷；热心的爱好者（支持者）n.风扇
far (farther,farthest或further,furthest)a.&ad.远的；远地
miasma n．瘴气，坏影响
fat n.脂肪a.胖的；肥的
deformation n.损坏；变形；畸形
fax n.传真
plan n.&v.计划，打算
panegyric n．颂词，颂扬
ambivalent adj．（对人或物）有矛盾看法的
rained .动词rain的过去式
esoteric adj．秘传的，神秘的
rendering n．演出，翻译
rollerskatingn 滑旱冰
comfortable a.舒服的；安逸的；舒服自在的
suit vt.适合n.一套（衣服）
completely ad.十分，完全地
necktie n.领带，领花
browse v．n．吃嫩叶或草，浏览
elated adj.得意洋洋的振奋的
hump n．隆起，驼背，v．隆起
study v.学习；研究n.书房
fever n.发烧；发热
pensive adj．沉思的，愁眉苦脸的
piety n．虔诚
supermarket n.超级市场
retrogress v．倒退，退化
tragic a.悲剧性的，悲惨的
physician n.(有行医执照的)医生
sterilize v．使不育，杀菌
burner n.灯头，煤气头
dial vt.拨（电话号码）
grin vi.咧着嘴笑
discursive adj．散漫的，无层次的
grip vt.握紧，抓牢n.紧握
tornado n．飓风，龙卷风
citcle v.环绕；绕行&n.圆；圈子
grit n．沙粒，决心，勇气v．下定决心，咬紧牙关
adjutant n．（军队的）副官，助手
bronchitis n．支气管炎
peripatetic adj．巡游的
staggering adj．令人吃惊的
disembodied adj．无实体的、空洞的
criticize vt.批评；评论；非难
wanton adj．顽皮的，放纵的
pleased a.高兴的
behold v．目睹，看见
hull n．外壳，荚，船身
indebted adj．感激的，感恩的
hulk n．废船，笨重之人或物
economic a.经济的，经济学的
grim adj．冷酷的，可怕的
stuff n.材料vt.装，填，塞
pharmaceutical adj．制药的
retrace v．回顾，追想
disability n..残疾；无能
fee n.费，费用
section n.段，部分，部门
indivisible adj．不可分割的，不可分裂的
subservient adj．恭顺的
malignant adj．恶毒的，充满恨意的
provoke v．激怒,挑逗
few pron.不多；少数不多的；少数的
foil n．钝剑，箔，锡箔纸
strain vt.拉紧vi.尽力
licence n．自由，放肆
hunt vt.寻找；狩猎，猎取
gruesome adj.令人毛骨悚然的，恶心的
presenter n．主持人
rapprochement n．和好，和睦
repugnant adj．令人厌恶的
flagellate v．鞭打，鞭笞
plea n.请愿，请求，恳求
strait n.海峡
choleric a．易怒的，暴躁的
nutrition n.营养，滋养
opener n.开具，启子
personally ad.就自己而言
invigorate v．鼓舞，激励
outside n.外面ad.在外面；向外面prep.在…外面
passer-by n.过客，过路人
effect n.效果；作用
elementary a.基本的；初级的
producer n.生产者；舞台监督
hunk n．大块（食物）
inhale v．吸气
perceive v．察觉，发觉
totality n．全部，总数
politics n.政治
pathology n．病理学
crucial a.至关重要的,决定性的
faith n.信仰；信念
generator n．发电机
remark n.陈述；话；议论
candidate n.候选人，申请人
intelligible adj．可了解的,清晰的
structural a.结构的，构造的
laryngitis n．喉炎
peanut n.花生
diet n.饮食
lawyer n.律师
dissimulate v．隐藏、掩饰
butter n.黄油，奶油
rebate n．折扣，回扣
agglomerate v．凝聚，结块
bewilder vt.迷惑，把…弄糊涂
sorcery n．巫术，魔法
defame v．诽谤，中伤
posterity n．后代,子孙
extent n.广度；范围；程度
fig n．无花果，一点儿．
greeting n.祝贺
intermediary adj．媒介的n．中间人,媒介物
fond a.喜爱的，爱好的
fit a.健康的,适合的v.（使）适合，安装
hush v．n．肃静，安静
fix vt.修理；安装；确定，决定
husk n．外壳，皮，荚
periphrastic adj．迂回的，冗赘的
honest a.诚实的，正直的
assumption n.假定，假设
pension n.养老金
addition n.增加;（算数用语）加
surf v.冲浪
ad (缩)“＝”advertisementn.广告
sure a.确信，肯定ad.(口语)的确，一定，当然
grow v.种植；生长
shrink v.缩小，收缩，减少
metaphorical adj．隐喻的，比喻的
textile n.纺织品a.纺织的
locality n.位置，地点，发生地
licentious adj．纵欲的，放肆的
posterior adj．(在时间,次序上)较后的
proceeding n.程序，行动，事项
am v.be的人称形式之一
an art.一(个；件……)(用于元音素开头词前)
panic a./v.惊慌,恐慌,惶恐不安
shrine n．神龛，圣地
extend vt.延长；扩大；致
fold vt.折叠；合拢
as ad.&conj.像……一样；如同；因为prep.作为，当做
at prep.在（几点钟）;在（某处）
impervious adj．不能渗透的，不为所动的
cuckoo n.杜鹃，布谷鸟
hurl v．用力投掷
ax n.斧子
folk a.民间的
intermediate a.中间的；中级的
compression n.压缩，压紧，浓缩
hurt v.使受伤；痛
be v.是（原形）,其人称和时态形式有(am,is,are,was,were,being,been)；成为
stuntman n．特技演员
aerate v．充气，让空气进入
refinery n.精炼厂，提炼厂
intimacy n．亲密，亲密的言行
fool n.傻子，蠢人
experimentation n.实验，试验；实验法
by prep.靠近，在…旁；在…时间；不迟于；被；用；由；乘（车）
popularity n.通俗性；普及，流行
genre n．（文艺的）类型
trickery n．欺骗，诡计
panel n．讨论小组，仪表板
foot n.脚(pl.feet/fi:t/)
radiance n．发光，喜悦
charge v.要求收费；索价；将(电池)充电n.费用；价钱
outstanding a.优秀的，杰出的
adobe n．泥砖，土坯
tined adj．尖端的
flu n.流行性感冒
food n.食物，食品
fly n.飞行；苍蝇
forgery n．伪造（物）
partner n.搭档，合作者
skeptical adj．怀疑的
debauchery n．放荡，沉缅酒色
burgeon v．迅速成长，发展
freely ad.自由地；直率地
stopwatch n.记秒表；跑表
expenditure n.消耗,支出
hobble v．蹒跚，跛行
scarf n.领巾，围巾
scare v.使害怕，使恐惧
language n.语言
congenial adj．意气相投的，宜人的
schism n．组织分裂
do v.&aux.做，干
ford n．浅滩，水浅可涉处v．涉水
scarp n．悬崖，陡坡
fore ad.在前面a.先前的
snare n．罗网，陷井
Friday n.星期五
corroboration n．证实，支持，证据
indescribable adj．（美得）无法形容的（
garment n.（一件）衣服
criticism n.批评；批判；评论
specious adj．似是而非的，华而不实的
caricature n．讽刺画，滑稽模仿
voracious adj．狼吞虎咽的，贪婪的
muzzy adj．模糊不清的，昏迷的
topography n．地形学，地形
snarl v．n．纠缠，混乱
inexplicable adj．无法解释的，难理解的
blight n．植物枯萎病v．使…枯萎
er interj.呃；啊；这……
piece n.一块（片，张，件…）
fog n.雾
foible n．小缺点，小毛病
fop n．（喜好精致服装的）花花公子．
for prep.为了…；向…，往…；与…交换；防备…；适合…；因为…；在…期间；对于…；对…来说conj.因为，由于
lamentable adj．令人惋惜的，悔恨的
twilight n.黎明，黄昏；曙光
content a.甘愿的,满意的n.内容
fox n.狐狸
ploy n．花招,手段
dine v.吃饭；（指正式）进餐
plot v./n.故事情节，密谋
terminology n．术语，术语学
alert a.警惕的；活跃的
obsolescent adj．即将过时的
prosperity n．繁荣,兴旺
covert adj．秘密的，隐密的
contend vi.竞争vt.坚决主张
digital a..数字的，数码的
thwart v．阻挠，使…受挫
plod v．重步走,吃力干
splice v．n．接合，衔接
deposition n．免职，沉积
go v.去
plastered adj．抹上灰泥的
specification n.载明，详述；规格
crestfallen adj．挫败的，失望的
rhythm n.韵律，格律；节奏
tease v.取笑，戏弄，寻开心
fork n.叉，餐叉
form n.表格；形式；结构
mnemonics n．记忆法，
playhouse n.儿童游戏房
ha int.哈(笑声)
cylinder n.圆筒；柱(面)；汽缸
fort n要塞，城堡
renew v.(使)更新,恢复,重新开始,继续
he pron.他
feather n.羽毛
hi int.你好（表示打招呼、问候或唤起注意）
hm interj.哼（表示踌躇、唤起注意）
welfare n.幸福，福利
penultimate adj．倒数第二的
abhor v．憎恨，嫌恶
foul adj．恶臭的，邪恶的，v．弄脏n．（体育等）犯规
flourish vi.繁荣，茂盛，兴旺
intricate adj．复杂难懂的
else ad.别的，其他的
four num.四
context n.上下文；来龙去脉
easily ad.容易地
if conj.如果,假使,是否,是不是
zinc n.锌vt.在…上镀锌
likely a.很可能的
fro ad.往，去，回，向后
in prep.在…里(内)；在…；以…ad.在家，在内，向内
dejected adj．沮丧的，失望的
lingual adj．舌的，语言的
audacity n.大胆,鲁莽
is v.是
it pron.它
doorway n.门口
fry vt.用油煎；用油炸
lively a.活泼的;充满生气的
malleable adj．可塑的，易改变的
supplement vn．增补，补充
fretwork n．格子细工（在木头上雕出各种图案，格子的工艺）
affinity n．密切关系，吸引力
taperecorder n.磁带录音机
Christmastree 圣诞树
occurrence n．事件，发生
disposal n.丢掉，处理，销毁
settlement n.新拓居地；（美）部落，村落
recede v．后退，收回（诺言）
customary a.通常的；照惯例的
ability n.能力；才能
explicable adj.可解释的
delight n.快乐；乐事
vassal n．陪臣，诸侯
proficient adj．熟练的,精通的
suggestion n.建议
conglomerate v．集聚，集团
sullen adj．忧郁的，不高兴的
